id,lesson,sort_order,japanese,reading,romaji,english,audio_word
l01-001,1,1,神,かみ,kami,God,w_kami.mp3
l01-002,1,2,主,しゅ,shu,Lord,w_shu.mp3
l01-003,1,3,聖霊,せいれい,seirei,Holy Spirit,w_seirei.mp3
l01-004,1,4,イエス・キリスト,いえす・きりすと,iesu kirisuto,Jesus Christ,w_iesukirisuto.mp3
l01-005,1,5,愛,あい,ai,love,w_ai.mp3
l01-006,1,6,喜び,よろこび,yorokobi,joy,w_yorokobi.mp3
l01-007,1,7,信仰,しんこう,shinkou,faith,w_shinkou.mp3
l01-008,1,8,希望,きぼう,kibou,hope,w_kibou.mp3
l01-009,1,9,恵み,めぐみ,megumi,grace,w_megumi.mp3
l01-010,1,10,あわれみ,あわれみ,awaremi,mercy,w_awaremi.mp3
l01-011,1,11,罪,つみ,tsumi,sin,w_tsumi.mp3
l01-012,1,12,赦し,ゆるし,yurushi,forgiveness,w_yurushi.mp3
l01-013,1,13,十字架,じゅうじか,jyuujika,cross,w_juujika.mp3
l01-014,1,14,救い,すくい,sukui,salvation,w_sukui.mp3
l01-015,1,15,永遠のいのち,えいえんのいのち,eien no inochi,eternal life,w_eiennoinochi.mp3
l01-016,1,16,教会,きょうかい,kyoukai,church,w_kyoukai.mp3
l01-017,1,17,聖書,せいしょ,seisho,Bible,w_seisho.mp3
l01-018,1,18,賛美,さんび,sanbi,praise,w_sanbi.mp3
l01-019,1,19,祈り,いのり,inori,prayer,w_inori.mp3
l01-020,1,20,礼拝,れいはい,reihai,worship,w_reihai.mp3
l02-001,2,1,福音,ふくいん,hukuin,gospel,w_fukuin.mp3
l02-002,2,2,真理,しんり,shinri,truth,w_shinri.mp3
l02-003,2,3,たましい,たましい,tamashii,soul,w_tamashii.mp3
l02-004,2,4,弟子,でし,deshi,disciple,w_deshi.mp3
l02-005,2,5,使徒,しと,shito,apostle,w_shito.mp3
l02-006,2,6,悪魔,あくま,akuma,demon,w_akuma.mp3
l02-007,2,7,悪霊,あくれい,akurei,devil,w_akurei.mp3
l02-008,2,8,サタン,さたん,satan,Satan,w_satan.mp3
l02-009,2,9,御使い,みつかい,mitsukai,angel,w_mitsukai.mp3
l02-010,2,10,神の国,かみのくに,kami no kuni,kingdom of God,w_kaminokuni.mp3
l02-011,2,11,義,ぎ,gi,righteousness,w_gi.mp3
l02-012,2,12,律法,りっぽう,rippou,law,w_rippou.mp3
l02-013,2,13,さばき,さばき,sabaki,judgement,w_sabaki.mp3
l02-014,2,14,贖い,あがない,aganai,redemption,w_aganai.mp3
l02-015,2,15,平安,へいあん,heian,peace,w_heian.mp3
l02-016,2,16,祝福,しゅくふく,shukuhuku,blessing,w_shukufuku.mp3
l02-017,2,17,栄光,えいこう,eikou,glory,w_eikou.mp3
l02-018,2,18,証し,あかし,akashi,testimony,w_akashi.mp3
l02-019,2,19,賜物,たまもの,tamamono,gift,w_tamamono.mp3
l02-020,2,20,バプテスマ,ばぷてすま,baputesuma,Baptism,w_baputesuma.mp3
l03-001,3,1,安息日,あんそくにち,ansokunichi,sabbath,w_ansokunichi.mp3
l03-002,3,2,偶像,ぐうぞう,guuzou,idol,w_guuzou.mp3
l03-003,3,3,割礼,かつれい,katsurei,circumcision,w_katsurei.mp3
l03-004,3,4,姦淫,かんいん,kanin,adultery,w_kanin.mp3
l03-005,3,5,復活,ふっかつ,hukkatsu,resurrection,w_fukkatsu.mp3
